AFP,Development_platform,Language_Type,Resource_Level,Effort
283,PC,3GL,1,5650
1223,PC,3GL,1,66600
144,MF,3GL,1,4380
13,Multi,4GL,1,1015
181,MF,3GL,4,4088
152,Multi,4GL,1,4216
407,PC,3GL,4,10991
33,PC,3GL,1,840
29,Multi,4GL,1,932
76,PC,3GL,4,2640
54,PC,4GL,2,1884
1200,MF,3GL,2,65513
335,PC,4GL,1,25401
109,MF,3GL,1,2458
291,MF,ApG,1,6519
426,Multi,4GL,1,9360
572,MR,3GL,1,13020
455,MR,3GL,2,10670
322,Multi,3GL,1,7850
200,MF,ApG,1,5057
529,PC,4GL,4,21684
991,Multi,3GL,1,29600
191,MF,3GL,1,6240
314,MF,2GL,1,11824
320,MF,3GL,1,12180
127,MF,3GL,1,5176
174,Multi,3GL,1,13528
320,Multi,3GL,1,9357
594,Multi,3GL,1,26520
182,MR,3GL,1,7700
250,Multi,4GL,1,12844
496,MF,3GL,1,11586
879,PC,3GL,4,18400
475,MF,3GL,1,11531
1059,Multi,3GL,1,26345
122,PC,4GL,1,3003
189,MF,3GL,1,5241
253,MF,3GL,1,6924
180,Multi,4GL,1,4775
130,Multi,3GL,1,3904
320,MR,3GL,1,10771
148,MF,3GL,4,5100
272,MF,3GL,1,11172
35,MF,4GL,1,2031
250,Multi,3GL,1,18620
103,Multi,3GL,1,7808
102,MF,3GL,1,2786
2600,Multi,4GL,1,60000
67,Multi,3GL,1,1821
207,MR,3GL,4,6069
840,MF,3GL,1,24817
551,MF,3GL,1,16380
712,MF,4GL,1,23065
258,MF,3GL,4,11628
190,MF,3GL,1,6885
228,MF,3GL,1,8631
781,Multi,4GL,1,45778
202,MF,3GL,1,13415
1658,MR,3GL,1,124650
303,PC,3GL,1,6297
190,MR,ApG,1,4282
55,Multi,4GL,1,1690
99,Multi,3GL,1,2876
3411,PC,3GL,1,110624
236,PC,4GL,4,7704
434,Multi,4GL,1,11922
179,Multi,3GL,1,5690
171,Multi,3GL,1,5269
296,MF,3GL,1,9068
366,Multi,3GL,1,19047
285,Multi,4GL,1,8802
69,Multi,4GL,1,2396
57,MR,3GL,2,2806
257,Multi,3GL,1,9152
1453,MF,4GL,1,65877
186,MF,3GL,1,9162
131,PC,3GL,4,5960
358,Multi,4GL,1,16770
183,MF,3GL,4,9600
390,MF,3GL,1,230514
92,Multi,4GL,1,3889
173,PC,3GL,1,10501
649,Multi,4GL,1,35431
134,PC,4GL,4,7556
30,PC,4GL,1,1763
156,Multi,3GL,1,11660
120,MF,3GL,4,7305
17,Multi,4GL,1,1091
11,MF,3GL,1,764
118,Multi,3GL,1,9021
10,MF,3GL,1,1208
142,MF,4GL,4,13175
17,MF,3GL,1,2499
254,MF,3GL,1,28760
136,MF,3GL,1,17050
6,MF,3GL,2,1008
890,Multi,4GL,1,17765
2143,PC,3GL,1,52172
276,MF,3GL,4,6129
250,PC,3GL,1,6069
192,MF,3GL,1,4386
182,PC,3GL,1,4522
1256,MF,3GL,1,51527
148,Multi,4GL,1,4141
81,Multi,3GL,1,2071
28,PC,3GL,1,686
218,MF,3GL,1,6665
78,Multi,3GL,1,2183
120,MF,3GL,1,3287
122,MF,4GL,1,3562
620,MF,4GL,1,18160
242,MF,3GL,1,7710
150,Multi,4GL,1,4599
153,MF,3GL,1,4794
1075,Multi,3GL,1,34023
