AFP,Development_platform,Language_Type,Resource_Level,Effort
806,MF,3GL,1,28696
66,Multi,4GL,1,2355
155,Multi,3GL,1,5196
38,MF,3GL,4,2507
134,Multi,3GL,4,7760
194,MF,3GL,1,3934
397,MF,3GL,1,8176
462,MF,ApG,2,11809
61,MF,3GL,1,2099
170,MF,3GL,1,5950
85,Multi,4GL,1,3958
64,PC,3GL,1,3226
132,Multi,4GL,1,6957
161,PC,3GL,1,9808
215,Multi,3GL,1,7104
57,MF,3GL,1,1505
332,PC,3GL,1,8772
188,PC,3GL,1,5484
60,PC,4GL,1,1760
62,MF,3GL,2,2640
344,Multi,3GL,1,13171
257,Multi,3GL,1,9946
42,PC,3GL,4,2640
96,Multi,4GL,1,4550
85,Multi,3GL,1,7800
1671,MF,3GL,1,39358
1234,MF,3GL,1,33206
66,MF,3GL,4,2915
74,Multi,4GL,1,3995
1965,PC,4GL,1,134211
967,MF,3GL,1,20404
122,PC,3GL,4,2645
1174,Multi,ApG,1,26180
1108,Multi,4GL,1,26940
307,MF,ApG,4,11165
235,Multi,3GL,1,5374
274,Multi,3GL,1,6910
451,Multi,3GL,1,15098
21,MF,3GL,1,925
358,PC,3GL,1,16843
51,MF,3GL,1,3712
383,MF,3GL,1,37877
186,MF,3GL,4,4189
277,PC,4GL,1,6809
201,Multi,3GL,1,5225
202,MF,4GL,1,7602
993,PC,3GL,1,46101
393,Multi,4GL,1,19163
617,MF,3GL,1,21103
