AFP,Development_platform,Language_Type,Resource_Level,Effort
597,PC,ApG,2,9015
534,MF,4GL,4,8170
754,MF,3GL,1,11762
727,MF,3GL,1,11414
785,MF,3GL,1,12482
782,MF,3GL,2,12668
802,MF,3GL,1,13474
845,MF,3GL,4,15041
874,MR,4GL,1,15819
866,PC,3GL,1,15934
413,MF,3GL,1,7643
878,PC,3GL,1,16419
902,MF,3GL,1,17679
260,Multi,3GL,1,4184
200,MF,ApG,1,4436
107,Multi,3GL,1,1824
260,PC,4GL,1,3945
396,PC,4GL,1,6051
289,Multi,3GL,1,4545
275,Multi,4GL,1,4316
288,PC,4GL,1,4629
342,PC,3GL,1,5565
152,MF,4GL,1,2471
279,Multi,4GL,1,4628
335,MF,3GL,1,5631
131,Multi,3GL,1,2211
324,MR,3GL,1,5499
391,PC,4GL,4,6875
417,MF,3GL,1,7478
382,Multi,4GL,1,6956
