AFP,Development_platform,Language_Type,Resource_Level,Effort
124,MR,3GL,1,662
971,MR,3GL,1,5864
615,MF,4GL,1,3574
309,Multi,3GL,1,2597
780,Multi,3GL,1,9828
82,MF,ApG,1,606
2944,PC,3GL,4,21625
1010,Multi,3GL,1,8049
126,MF,3GL,1,1035
578,MF,3GL,1,5134
5789,MR,3GL,1,55960
1644,MF,3GL,1,16357
1355,Multi,3GL,1,7505
694,Multi,4GL,1,4086
587,MF,4GL,1,3748
286,Multi,3GL,1,2400
211,MF,4GL,4,1865
557,PC,4GL,1,5896
722,Multi,4GL,1,4164
758,MF,3GL,1,4630
2054,Multi,4GL,1,16790
4352,Multi,4GL,1,34004
505,MF,3GL,1,4955
82,Multi,3GL,1,440
477,MF,3GL,1,2620
753,Multi,3GL,1,4301
494,MF,3GL,1,2910
822,MF,4GL,1,4846
119,PC,4GL,1,700
379,MF,3GL,4,2391
1196,Multi,4GL,1,7824
300,Multi,4GL,1,2039
506,MF,4GL,1,3500
2372,MR,3GL,1,17757
140,Multi,3GL,1,1098
558,MF,3GL,4,4112
103,PC,3GL,4,759
70,Multi,3GL,1,659
340,MF,3GL,1,2723
1241,Multi,3GL,1,10222
2014,PC,3GL,2,17744
234,Multi,4GL,1,1932
1790,MR,3GL,2,15142
75,MR,3GL,1,720
200,MR,4GL,3,1935
309,MF,3GL,1,3695
109,MF,4GL,2,650
338,MR,4GL,1,2340
247,Multi,4GL,1,1757
385,MF,3GL,1,2761
327,MF,3GL,1,2464
557,Multi,3GL,1,4782
868,Multi,3GL,1,8076
577,MF,3GL,1,2944
187,MF,3GL,1,1210
1291,PC,4GL,1,7500
286,Multi,4GL,1,1727
402,MF,3GL,2,2470
800,Multi,4GL,1,5315
150,Multi,3GL,1,1177
210,MF,3GL,1,1840
1000,Multi,3GL,1,9604
93,Multi,4GL,1,900
186,MF,3GL,2,960
676,Multi,3GL,1,4731
84,PC,4GL,4,535
554,Multi,3GL,1,4111
4484,MR,3GL,1,32884
204,PC,3GL,4,1640
650,MF,ApG,2,4820
233,Multi,4GL,1,1803
287,Multi,3GL,1,2538
147,MF,4GL,4,1327
979,PC,4GL,2,6663
219,Multi,4GL,1,1220
165,MF,3GL,4,942
2181,Multi,3GL,1,11853
296,Multi,4GL,1,1609
198,PC,4GL,1,1085
291,MF,3GL,1,1827
473,Multi,3GL,1,2982
146,PC,3GL,3,926
409,Multi,4GL,1,2672
222,MR,4GL,1,1860
174,PC,3GL,4,1461
2509,Multi,3GL,1,19989
391,Multi,4GL,1,3247
188,Multi,3GL,1,1831
3354,Multi,3GL,1,31632
3403,PC,3GL,1,16944
651,MF,2GL,1,4352
250,PC,4GL,1,1394
395,Multi,4GL,1,2760
1013,MF,3GL,1,5880
1169,MF,3GL,1,10522
2189,MF,3GL,1,12593
257,Multi,3GL,1,2027
2288,MF,3GL,1,14811
520,PC,3GL,1,3133
55,MF,ApG,2,411
323,MF,3GL,1,2183
99,PC,3GL,1,764
141,Multi,3GL,1,912
484,Multi,3GL,1,3868
452,Multi,3GL,1,3968
61,PC,4GL,1,502
437,PC,3GL,1,4107
1243,MF,4GL,4,8984
160,PC,3GL,1,1163
156,PC,4GL,1,1402
313,MF,3GL,1,3200
1710,MF,3GL,1,13130
249,MF,3GL,1,2020
193,MF,3GL,1,1718
724,MR,4GL,1,8821
314,MF,3GL,2,3651
1143,Multi,4GL,1,11755
59,MF,3GL,4,682
63,Multi,3GL,1,692
740,Multi,3GL,1,8113
424,Multi,3GL,4,2803
700,MF,3GL,1,4363
129,Multi,4GL,1,705
99,Multi,3GL,1,634
43,Multi,3GL,1,254
478,MF,3GL,1,2716
236,Multi,4GL,1,1350
342,MF,3GL,1,2028
2248,Multi,4GL,1,13299
298,MF,4GL,1,1950
311,PC,3GL,1,2455
4887,Multi,4GL,1,38886
225,Multi,3GL,1,1843
282,Multi,3GL,1,2335
800,Multi,3GL,1,5880
1171,PC,3GL,1,11122
7400,MF,3GL,4,60270
183,MF,3GL,1,1824
387,MF,3GL,1,3960
132,MF,4GL,1,1429
1750,MF,3GL,1,16170
249,MF,3GL,1,2656
594,MF,3GL,1,7062
755,Multi,3GL,1,7350
234,Multi,3GL,1,1259
919,Multi,3GL,1,5801
1752,Multi,3GL,1,9116
1220,Multi,3GL,1,7634
1308,PC,3GL,4,8172
65,PC,4GL,1,398
749,MF,3GL,4,4623
155,MF,4GL,1,1091
1194,MF,3GL,1,8162
360,PC,4GL,1,2450
287,MR,ApG,1,2108
702,PC,4GL,2,4805
1956,MF,3GL,1,13728
139,Multi,4GL,1,1075
381,MF,3GL,1,3011
484,Multi,3GL,1,3592
251,PC,3GL,1,2540
992,PC,3GL,2,7800
1182,MF,3GL,1,9456
2245,MF,ApG,2,18314
616,MF,3GL,4,5080
150,Multi,3GL,1,1238
453,Multi,3GL,1,3820
1265,MR,4GL,1,10770
177,MF,3GL,4,1570
786,MF,3GL,1,7496
309,PC,3GL,4,1575
360,MR,4GL,1,2032
422,Multi,3GL,3,2484
2091,MF,3GL,1,11752
2120,Multi,4GL,1,11830
989,PC,3GL,1,5968
2046,Multi,4GL,1,12259
826,MF,3GL,1,5415
242,MR,3GL,1,1581
358,MF,3GL,1,2389
1401,MF,3GL,1,9696
134,Multi,3GL,1,960
