AFP,Development_platform,Language_Type,Resource_Level,Effort
218,Multi,4GL,1,1562
589,Multi,4GL,1,4534
470,PC,4GL,1,3712
747,MR,3GL,1,6767
591,MF,3GL,1,5419
82,Multi,3GL,1,700
528,PC,4GL,1,4750
1285,MF,3GL,1,11949
297,Multi,4GL,1,2762
435,Multi,4GL,1,4045
490,MR,3GL,1,4672
528,MF,3GL,1,3244
1588,MF,3GL,1,12564
80,Multi,4GL,1,707
578,PC,4GL,1,5226
116,MF,2GL,1,626
230,MF,3GL,1,1248
166,MF,3GL,1,946
72,Multi,3GL,1,418
472,MF,4GL,1,2783
92,PC,4GL,4,543
78,MF,3GL,1,484
121,PC,4GL,1,750
68,MF,3GL,1,442
1800,MF,3GL,1,12000
154,MF,4GL,1,1047
256,MF,3GL,1,1766
146,MF,3GL,1,1037
188,MF,3GL,4,1354
243,Multi,3GL,1,1774
1200,PC,3GL,1,10293
324,MF,4GL,2,2462
280,Multi,3GL,1,2164
172,MR,3GL,1,1393
1230,Multi,3GL,1,10152
335,MF,ApG,1,2814
262,MF,3GL,1,2240
313,MF,3GL,1,2723
372,Multi,3GL,1,3274
364,MF,3GL,1,3312
234,Multi,3GL,1,2153
450,MF,3GL,4,4430
44,Multi,4GL,1,324
1500,MF,3GL,1,10613
430,MF,3GL,1,2891
638,Multi,3GL,1,4627
649,MF,4GL,1,4880
1168,Multi,4GL,1,9756
800,MF,3GL,1,6764
696,PC,4GL,1,6037
349,Multi,4GL,1,3068
198,MF,3GL,1,1944
116,Multi,4GL,1,626
267,Multi,4GL,1,1442
95,PC,3GL,4,543
166,PC,4GL,4,946
92,Multi,4GL,1,543
121,PC,4GL,4,750
154,Multi,3GL,1,1047
256,Multi,4GL,1,1766
146,Multi,4GL,1,1037
246,MF,3GL,1,2142
188,Multi,3GL,4,1354
243,Multi,3GL,4,1774
86,PC,3GL,1,691
172,Multi,3GL,1,1393
283,Multi,4GL,1,2321
149,Multi,3GL,1,1492
313,MF,3GL,4,2723
372,Multi,4GL,1,3274
364,Multi,3GL,1,3312
263,PC,4GL,2,2392
234,MR,3GL,1,2153
138,Multi,4GL,1,1300
298,Multi,4GL,1,2801
1048,Multi,4GL,1,7722
777,Multi,3GL,1,7119
733,PC,3GL,1,4544
