AFP,Development_platform,Language_Type,Resource_Level,Effort
3180,MF,3GL,1,33028
3331,Multi,3GL,1,49034
1475,MF,4GL,1,19721
629,MF,4GL,1,10687
1457,MF,3GL,1,14784
1130,PC,3GL,1,15749
77,MF,3GL,4,1099
2087,MF,3GL,2,22500
3113,Multi,4GL,1,42080
1402,Multi,3GL,1,17607
4411,Multi,4GL,1,59809
1406,MF,3GL,1,14938
499,MF,3GL,1,5404
220,PC,3GL,1,2385
937,Multi,4GL,1,10412
127,MF,3GL,1,1440
259,MF,3GL,4,3072
261,PC,4GL,1,3123
301,Multi,3GL,1,3631
89,MF,3GL,1,1106
125,PC,3GL,4,1744
412,Multi,3GL,1,5864
132,PC,3GL,1,1356
71,Multi,3GL,1,737
162,PC,3GL,1,1754
74,MF,3GL,4,804
699,MF,3GL,1,7678
1200,MR,4GL,1,13410
496,MF,4GL,4,5625
149,MF,3GL,1,1888
2906,PC,3GL,4,37320
95,Multi,4GL,1,1231
2373,MF,3GL,1,27199
96,MF,3GL,1,4530
602,MR,3GL,1,7800
112,Multi,3GL,1,1622
2291,Multi,3GL,1,22831
1927,Multi,4GL,1,19448
194,MF,3GL,4,1953
229,Multi,4GL,1,2897
506,MF,3GL,1,6146
248,Multi,3GL,1,2909
700,Multi,3GL,1,9000
224,MR,4GL,1,3322
199,MF,3GL,2,3034
391,Multi,3GL,1,6659
138,PC,3GL,1,2264
2845,Multi,3GL,1,28422
1632,MF,3GL,1,16702
551,MR,3GL,2,6050
256,PC,3GL,4,2941
250,MF,3GL,1,3249
224,MR,3GL,4,2767
36,Multi,4GL,1,500
128,Multi,4GL,1,1890
351,PC,3GL,4,5581
140,PC,3GL,1,1453
121,Multi,3GL,1,1385
306,PC,4GL,1,3912
59,MF,3GL,2,756
92,PC,3GL,4,1493
201,MF,3GL,1,3332
565,MR,3GL,1,9493
93,Multi,4GL,1,1259
294,MR,3GL,1,4971
103,Multi,3GL,1,1396
255,Multi,4GL,1,4715
1290,MF,3GL,1,22045
4078,MF,3GL,1,59878
1417,MF,ApG,4,20762
211,Multi,3GL,1,3136
649,Multi,3GL,1,9653
357,Multi,4GL,1,4765
135,MF,3GL,1,1600
2376,MF,3GL,1,30701
902,PC,4GL,1,11140
97,PC,4GL,1,1158
79,PC,3GL,1,1108
142,Multi,3GL,1,2049
473,PC,3GL,1,7079
88,PC,3GL,1,2639
422,Multi,3GL,1,4618
35,MF,3GL,1,366
1777,Multi,3GL,1,20000
175,Multi,4GL,1,1946
4911,MF,3GL,1,71118
522,MF,3GL,1,7063
29,Multi,4GL,1,395
391,MF,3GL,2,7439
539,MF,3GL,1,5975
222,Multi,3GL,1,2330
97,MF,3GL,1,1093
74,Multi,4GL,1,835
77,MF,3GL,2,910
287,MF,3GL,1,3430
2468,Multi,4GL,1,33760
2027,PC,4GL,1,28160
