AFP,Development_platform,Language_Type,Resource_Level,Effort
308,MR,4GL,1,772
57,PC,3GL,1,497
295,MF,4GL,1,713
3968,Multi,4GL,1,19075
227,PC,3GL,4,648
1706,MR,3GL,1,9760
99,MF,3GL,1,530
639,Multi,4GL,1,2420
878,MF,3GL,2,3742
320,MR,4GL,1,1427
268,PC,ApG,1,1093
724,MR,4GL,4,3092
66,MF,3GL,1,310
4123,PC,3GL,1,1000
759,MF,3GL,1,1100
545,MR,3GL,1,500
476,Multi,3GL,1,64
1727,MR,4GL,1,3020
454,Multi,4GL,1,327
1028,MF,3GL,1,819
1064,Multi,4GL,1,1099
1122,Multi,4GL,1,1208
1398,MF,4GL,1,1948
496,MF,3GL,1,742
2212,PC,4GL,1,5051
302,Multi,4GL,1,679
142,Multi,4GL,1,403
360,MF,4GL,1,963
246,MF,4GL,1,742
85,PC,3GL,1,262
609,Multi,3GL,1,2385
1694,PC,3GL,1,6400
314,MF,3GL,4,1260
2572,PC,4GL,1,11397
566,PC,3GL,1,2421
1136,Multi,4GL,1,4997
293,Multi,4GL,1,1327
778,MF,3GL,1,3845
426,PC,4GL,1,2110
41,MF,3GL,2,202
157,MR,3GL,1,1383
342,MF,3GL,2,1806
40,MR,4GL,1,62
345,MF,3GL,1,679
535,MF,4GL,1,781
795,Multi,3GL,1,2187
103,MF,3GL,1,319
71,Multi,4GL,1,232
4104,Multi,3GL,1,14103
191,MF,3GL,4,737
19,Multi,3GL,1,83
72,Multi,3GL,1,331
100,Multi,3GL,1,549
650,MF,3GL,1,3672
264,MF,3GL,1,432
599,PC,3GL,4,1752
46,PC,3GL,4,172
500,MR,3GL,1,2835
1800,PC,3GL,1,7968
613,MF,3GL,4,3839
935,PC,4GL,4,4920
1630,MF,3GL,1,2303
276,Multi,3GL,1,565
166,PC,4GL,1,335
203,Multi,3GL,1,433
158,MF,ApG,2,332
417,MF,3GL,1,902
262,Multi,4GL,1,568
350,MR,3GL,1,788
186,MR,4GL,2,446
362,MF,3GL,1,900
402,Multi,3GL,1,1048
338,MF,4GL,1,871
393,MR,3GL,4,1060
321,MF,ApG,1,896
91,MR,4GL,4,290
78,MF,3GL,1,263
276,MR,4GL,1,1005
260,MR,3GL,1,965
145,MF,3GL,1,546
237,Multi,3GL,1,909
144,Multi,4GL,1,566
125,Multi,3GL,1,494
751,MF,3GL,1,3114
235,MF,3GL,1,984
395,MF,3GL,1,1672
